Close,RSI,Bollinger_Middle,Bollinger_Upper,Bollinger_Lower,CCI,Signal
29.85499954223633,52.34210222970065,29.853750038146973,29.970448789481292,29.737051286812655,-62.846862467959554,
29.694999694824222,43.41066935603248,29.842500019073487,29.97393390981894,29.711066128328035,-184.96339955456915,
29.385000228881836,32.01287694313349,29.813250064849854,30.042297278202845,29.584202851496865,-294.93030493939443,
29.36000061035156,31.299179191453035,29.790000057220464,30.09225784842717,29.487742266013743,-289.1141940583332,
29.1200008392334,25.43635764547504,29.755750083923342,30.17575284414596,29.335747323700712,-260.01536932377996,
29.200000762939453,30.13423398118723,29.72400016784668,30.206582254800068,29.241418080893286,-202.90342783904646,
29.26000022888184,33.51741220540768,29.695750141143805,30.21605022690533,29.175450055382257,-113.14837745408154,
29.25,33.22859723666289,29.668750095367432,30.221704130823635,29.11579605991123,-129.26042500133917,
29.25,33.22859723666289,29.639000129699703,30.214391730789075,29.063608528610335,-80.10992053352513,
29.245000839233402,33.06341874155856,29.61125020980835,30.20611003199476,29.016390387621943,-74.8532156118476,
29.2549991607666,33.77249762683533,29.583250141143804,30.189717218348385,28.976783063939216,-64.36455944740064,
29.239999771118164,33.204226532601346,29.55800008773804,30.177341318872475,28.9386588566036,-50.57281395037356,
28.93000030517578,24.15712181804132,29.51550006866455,30.182866869078453,28.848133268250653,-93.6859505456431,
28.76499938964844,20.893904832827037,29.45900001525879,30.177648445947025,28.740351584570547,-154.6221970424661,
28.825000762939457,24.868408238252712,29.40725002288819,30.151544343049597,28.662955702726777,-123.26701997437131,
28.815000534057617,24.646151228024426,29.352000045776364,30.099885841263585,28.604114250289157,-109.10240103807477,
28.76000022888184,23.407084635299785,29.293750095367436,30.035496735534466,28.552003455200403,-144.52155084561173,
28.7549991607666,23.292416581493697,29.23525009155274,29.952783710655517,28.517716472449948,-105.99463679374036,
28.829999923706055,28.91649712800053,29.18525009155273,29.86859082770225,28.501909355403217,-80.08641377247599,
28.81999969482422,28.6152384662306,29.13075008392334,29.744511183288004,28.516988984558676,-102.46580883044592,
28.659999847412113,24.260280311286778,29.07100009918213,29.62039626393822,28.52160393442604,-119.81563281188627,
28.680000305175778,25.780854511357404,29.020250129699708,29.514451482337563,28.52604877706185,-121.90357764123061,
28.61000061035156,23.96724830437876,28.981500148773197,29.476758807976882,28.486241489569508,-102.92545261617735,
28.71999931335449,32.0558567628152,28.94950008392334,29.425114571104455,28.473885596742225,-88.07633915453586,
28.22500038146973,21.151241462414195,28.90475006103516,29.468101411864595,28.341398710205716,-127.92642478612483,
28.170000076293945,20.323953557959925,28.85325002670288,29.48356157106555,28.222938482340215,-185.40533686789394,
28.334999084472656,29.26258287236472,28.806999969482423,29.446815594655174,28.16718434430967,-143.64646524857625,
28.299999237060547,28.53138403612164,28.759499931335448,29.401760908545526,28.11723895412537,-124.98869123719021,
28.340000152587887,30.66379718883221,28.713999938964843,29.339536600580907,28.088463277348776,-83.5898017918809,
28.35499954223633,31.489270266061013,28.669499874114987,29.26343502014712,28.07556472808286,-103.91831633860755,
28.385000228881836,33.20222984717048,28.625999927520752,29.1671247772283,28.084875077813205,-82.0360083220329,
28.399999618530273,34.08952889146258,28.583999919891365,29.053655290086063,28.11434454969665,-75.6183303520943,
28.385000228881836,33.608750326925005,28.556749916076658,29.005729690679125,28.107770141474195,-32.221561249608776,
28.40999984741211,35.24791406672165,28.53899993896484,28.98166927281824,28.096330605111447,-23.077112779269545,
28.350000381469727,33.133557406986526,28.51524991989136,28.944766808725852,28.085733031056858,-29.475824394642043,
28.290000915527347,31.123023981414608,28.488999938964845,28.906020140459034,28.071979737470656,-91.40765084215391,
28.370000839233402,36.643321719509544,28.469499969482424,28.870160397944403,28.06883954102044,-54.91090068625517,
28.364999771118164,36.44666710982377,28.45,28.830644038890547,28.069355961109455,-7.11882879228352,
28.405000686645504,39.25477188299705,28.428750038146973,28.767289016796433,28.090211059497516,14.95327977949493,
28.274999618530277,33.997256823668614,28.40150003433228,28.694332697759428,28.108667370905128,-14.722499531910005,
28.184999465942383,30.91067648316812,28.377750015258794,28.659715941739314,28.095784088778263,-67.29082494863722,
28.21500015258789,33.091340080510946,28.354500007629397,28.608210449444133,28.10078956581465,-49.612478748272906,
28.13500022888184,30.34120735918988,28.330749988555905,28.573015656031952,28.088484321079868,-85.18762445806745,
28.315000534057617,42.017491407035145,28.31050004959106,28.474204097242428,28.14679600193969,-8.328875599584094,
28.399999618530273,46.57182403391562,28.31925001144409,28.482445488728295,28.156054534159882,93.06495249804162,
28.395000457763672,46.3412750233705,28.330500030517577,28.481559719000224,28.17944034203493,93.99043159084073,
28.450000762939453,49.314167992663606,28.33625011444092,28.49605878860022,28.176441440281618,136.16257682845097,
28.44499969482422,49.04806902285304,28.3435001373291,28.509123294024,28.17787698063421,36.87140663543016,
28.639999389648438,58.46026656506227,28.35850009918213,28.56852615936937,28.148474038994888,212.90341185229724,
28.52000045776367,52.08404730598772,28.36675014495849,28.5882286209356,28.14527166898139,160.68139231643784,
28.600000381469723,55.56370979622553,28.37750015258789,28.62123153365912,28.133768771516667,147.1336643045559,
28.5049991607666,50.84195398343776,28.382750129699705,28.632639487824395,28.13286077157502,32.74223441711408,
28.46500015258789,48.95561591920458,28.38675012588501,28.639203472247846,28.134296779522163,76.9320651926223,
28.5049991607666,50.916784750780785,28.391500091552736,28.649047951831736,28.13395223127374,10.592060918019875,
28.625,56.336820111296056,28.405250072479248,28.681175150523927,28.12932499443456,77.91059279747682,
